trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.0005, 'e': 0.33154225878488025}",25,8,0.6830671429923392,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.0005, 'e': 0.32775136224271845}",20,13,11.873064165168106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.0005, 'e': 0.32400381129591466}",30,18,16.162740563152926,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.0005, 'e': 0.3202991103253941}",25,11,-103.29117199354533,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
100,False,"{'a': 0.0005, 'e': 0.3166367693790538}",25,0,8.51816696983765,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.0005, 'e': 0.31301630410696557}",20,0,-7.070259627158547,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.0005, 'e': 0.3094372356973204}",25,0,16.979770791050782,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.0005, 'e': 0.30589909081310457}",25,6,19.410517436631196,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.0005, 'e': 0.3024014015295003}",25,0,-22.937901482917205,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
105,False,"{'a': 0.0005, 'e': 0.2989437052720018}",20,2,-47.376218035818525,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
106,False,"{'a': 0.0005, 'e': 0.2955255447552395}",20,7,11.97679879931825,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.0005, 'e': 0.292146467922503}",20,10,4.90126000617845,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.0005, 'e': 0.2888060278859561}",25,3,-33.15594153714282,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.0005, 'e': 0.2855037828675353}",20,12,8.714120324959008,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.0005, 'e': 0.2822392961405238}",20,6,14.731712168702918,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.0005, 'e': 0.2790121359717939}",20,1,26.0241442930347,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.0005, 'e': 0.2758218755647098}",25,0,-55.59904608966338,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
113,False,"{'a': 0.0005, 'e': 0.27266809300268263}",30,0,-37.158358971897,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
114,False,"{'a': 0.0005, 'e': 0.26955037119337205}",25,0,5.111830028079598,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
115,False,"{'a': 0.0005, 'e': 0.26646829781352455}",35,15,-10.018080904297147,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.0005, 'e': 0.26342146525444354}",25,14,-24.139244958370284,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
117,False,"{'a': 0.0005, 'e': 0.2604094705680823}",35,16,31.996424574079327,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.0005, 'e': 0.2574319154137535}",20,13,12.136339991586372,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
